source,target,weight,similarity_metric,edge_threshold_quantile,edge_threshold_value
United Nations Office for Disaster Risk Reduction (UNDRR),World Trade Organization (WTO) ,0.8716566502123487,cosine,0.9,0.8605916816926672
United Nations Office for Disaster Risk Reduction (UNDRR),United Nations Human Settlements Programme (UN-Habitat),0.8698106074896527,cosine,0.9,0.8605916816926672
International Atomic Energy Agency (IAEA),World Meteorological Organization (WMO),0.9319646907518678,cosine,0.9,0.8605916816926672
International Atomic Energy Agency (IAEA),International Hydrographic Organization (IHO) ,0.9576047374100743,cosine,0.9,0.8605916816926672
International Atomic Energy Agency (IAEA), International Council for the Exploration of the Sea (ICES),0.8682281508046146,cosine,0.9,0.8605916816926672
International Atomic Energy Agency (IAEA),World Trade Organization (WTO) ,0.8990117139564241,cosine,0.9,0.8605916816926672
International Atomic Energy Agency (IAEA),World Intellectual Property Organisation (WIPO),0.883993098643656,cosine,0.9,0.8605916816926672
International Atomic Energy Agency (IAEA),"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)


",0.8652601685043206,cosine,0.9,0.8605916816926672
International Atomic Energy Agency (IAEA),Minamata Convention on Mercury (Minamata),0.8646369007837921,cosine,0.9,0.8605916816926672
World Meteorological Organization (WMO),International Hydrographic Organization (IHO) ,0.9420497435452666,cosine,0.9,0.8605916816926672
World Meteorological Organization (WMO),World Trade Organization (WTO) ,0.8874781043527542,cosine,0.9,0.8605916816926672
World Meteorological Organization (WMO),"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)


",0.927373251103075,cosine,0.9,0.8605916816926672
World Meteorological Organization (WMO),Minamata Convention on Mercury (Minamata),0.8872793473111104,cosine,0.9,0.8605916816926672
Organisation for Economic Co-operation and Development (OECD),United Nations Office on Drugs and Crime (UNODC),0.8607693689960585,cosine,0.9,0.8605916816926672
 World Bank Group (WBG) ,UN Population Fund (UNFPA),0.8657543779579404,cosine,0.9,0.8605916816926672
International Hydrographic Organization (IHO) , International Council for the Exploration of the Sea (ICES),0.8916596678728,cosine,0.9,0.8605916816926672
International Hydrographic Organization (IHO) ,World Trade Organization (WTO) ,0.9136761612512886,cosine,0.9,0.8605916816926672
International Hydrographic Organization (IHO) ,Minamata Convention on Mercury (Minamata),0.8700845238578779,cosine,0.9,0.8605916816926672
 International Council for the Exploration of the Sea (ICES),IPCC,0.8639892316844486,cosine,0.9,0.8605916816926672
 International Council for the Exploration of the Sea (ICES),World Trade Organization (WTO) ,0.9029819101537717,cosine,0.9,0.8605916816926672
 International Council for the Exploration of the Sea (ICES),"International Organization for Migration (IOM)

",0.9169125467927003,cosine,0.9,0.8605916816926672
 International Council for the Exploration of the Sea (ICES),UN Entity for Gender Equality and the Empowerment of Women (UN-Women),0.8769682567691633,cosine,0.9,0.8605916816926672
 International Council for the Exploration of the Sea (ICES),"Secretariat of the Convention on Biological Diversity (CBD)

",0.878719731846592,cosine,0.9,0.8605916816926672
 International Council for the Exploration of the Sea (ICES),Minamata Convention on Mercury (Minamata),0.8638159735961249,cosine,0.9,0.8605916816926672
IPCC,"International Organization for Migration (IOM)

",0.8985848456460007,cosine,0.9,0.8605916816926672
IPCC,UN Entity for Gender Equality and the Empowerment of Women (UN-Women),0.8944735859892596,cosine,0.9,0.8605916816926672
IPCC,"Secretariat of the Convention on Biological Diversity (CBD)

",0.8854209450003312,cosine,0.9,0.8605916816926672
IPCC,Secretariat of the United Nations Convention to Combat Desertification (UNCCD),0.903348598086462,cosine,0.9,0.8605916816926672
IPCC,United Nations Office for Outer Space Affairs (UNOOSA),0.8959088025157753,cosine,0.9,0.8605916816926672
World Trade Organization (WTO) ,Ramsar Convention on Wetlands Secretariat (Ramsar) ,0.8767597815710902,cosine,0.9,0.8605916816926672
World Trade Organization (WTO) ,Minamata Convention on Mercury (Minamata),0.862879414634206,cosine,0.9,0.8605916816926672
"International Organization for Migration (IOM)

",UN Entity for Gender Equality and the Empowerment of Women (UN-Women),0.9013078366202021,cosine,0.9,0.8605916816926672
"International Organization for Migration (IOM)

","Secretariat of the Convention on Biological Diversity (CBD)

",0.8689591539644693,cosine,0.9,0.8605916816926672
"International Organization for Migration (IOM)

",Secretariat of the United Nations Convention to Combat Desertification (UNCCD),0.8697339672134331,cosine,0.9,0.8605916816926672
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),World Tourism Organization/UN Tourism (UNWTO),0.8624023498684684,cosine,0.9,0.8605916816926672
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),Secretariat of the United Nations Convention to Combat Desertification (UNCCD),0.8880989890136822,cosine,0.9,0.8605916816926672
World Intellectual Property Organisation (WIPO),World Tourism Organization/UN Tourism (UNWTO),0.8721159785066044,cosine,0.9,0.8605916816926672
World Intellectual Property Organisation (WIPO),United Nations Office for Outer Space Affairs (UNOOSA),0.8691596480540743,cosine,0.9,0.8605916816926672
UN Population Fund (UNFPA),"
International Trade Centre (ITC)",0.8967369859433526,cosine,0.9,0.8605916816926672
World Food Programme (WFP),World Tourism Organization/UN Tourism (UNWTO),0.9040305171214006,cosine,0.9,0.8605916816926672
World Food Programme (WFP),International Fund for Agricultural Development (IFAD),0.9307602297535186,cosine,0.9,0.8605916816926672
World Tourism Organization/UN Tourism (UNWTO),Secretariat of the United Nations Convention to Combat Desertification (UNCCD),0.902112525305402,cosine,0.9,0.8605916816926672
World Tourism Organization/UN Tourism (UNWTO),United Nations Office for Outer Space Affairs (UNOOSA),0.8665909040043265,cosine,0.9,0.8605916816926672
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)


","
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES)

",0.8893183515555306,cosine,0.9,0.8605916816926672
"
Secretariat of the Convention on Migratory Species (CMS)",United Nations Office for Outer Space Affairs (UNOOSA),0.8918487931070663,cosine,0.9,0.8605916816926672
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),United Nations Office for Outer Space Affairs (UNOOSA),0.8786813042237949,cosine,0.9,0.8605916816926672
