institution,ordinal_score_subject_matter,biodiversity_ecosystem_conservation_within_igo,cultural_heritage_traditional_knowledge_data_governance_within_igo,disaster_risk_reduction_resilience_within_igo,environmental_protection_climate_change_within_igo,human_rights_social_justice_advocacy_within_igo,international_cooperation_governance_within_igo,research_science_innovation_within_igo,security_safety_within_igo,sustainable_development_capacity_building_within_igo,trade_investment_economic_cooperation_within_igo,biodiversity_ecosystem_conservation_across_igo,cultural_heritage_traditional_knowledge_data_governance_across_igo,disaster_risk_reduction_resilience_across_igo,environmental_protection_climate_change_across_igo,human_rights_social_justice_advocacy_across_igo,international_cooperation_governance_across_igo,research_science_innovation_across_igo,security_safety_across_igo,sustainable_development_capacity_building_across_igo,trade_investment_economic_cooperation_across_igo
World Tourism Organization/UN Tourism (UNWTO),3,0.0,0,0.0,3.333333333333333,0.0,0.0,0.0,0.0,10.0,6.666666666666666,0.0,0.0,0.0,1.666666666666667,0.0,0.0,0.0,0.0,5.0,3.333333333333333
UN Research Institute for Social Development (UNRISD),5,0.0,0,6.666666666666666,10.0,10.0,0.0,6.666666666666666,0.0,10.0,0.0,0.0,0.0,3.333333333333333,5.0,5.0,0.0,3.333333333333333,0.0,5.0,0.0
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)


",4,10.0,0,0.0,6.666666666666666,0.0,0.0,0.0,0.0,6.666666666666666,0.0,5.0,0.0,0.0,3.333333333333333,0.0,0.0,0.0,0.0,3.333333333333333,0.0
"Secretariat of the Convention on Biological Diversity (CBD)

",4,10.0,0,0.0,0.0,0.0,5.0,0.0,2.5,5.0,0.0,6.666666666666666,0.0,0.0,0.0,0.0,3.333333333333333,0.0,1.666666666666667,3.333333333333333,0.0
"
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES)

",4,6.666666666666666,0,0.0,0.0,0.0,0.0,10.0,0.0,3.333333333333333,10.0,3.333333333333333,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.666666666666667,5.0
"
Secretariat of the Convention on Migratory Species (CMS)",7,10.0,0,0.0,5.0,0.0,5.0,6.666666666666666,0.0,1.666666666666667,3.333333333333333,10.0,0.0,0.0,5.0,0.0,5.0,6.666666666666666,0.0,1.666666666666667,3.333333333333333
International Fund for Agricultural Development (IFAD),6,0.0,0,10.0,10.0,0.0,0.0,10.0,10.0,5.0,10.0,0.0,0.0,3.333333333333333,3.333333333333333,0.0,0.0,3.333333333333333,3.333333333333333,1.666666666666667,3.333333333333333
"
International Trade Centre (ITC)",4,0.0,0,0.0,0.0,0.0,0.0,6.666666666666666,0.0,6.666666666666666,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333333,0.0,3.333333333333333,5.0
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),8,7.5,0,0.0,10.0,5.0,2.5,5.0,5.0,7.5,0.0,5.0,0.0,0.0,6.666666666666666,3.333333333333333,1.666666666666667,3.333333333333333,3.333333333333333,5.0,0.0
United Nations University (UNU),8,6.666666666666666,0,0.0,10.0,6.666666666666666,3.333333333333333,6.666666666666666,6.666666666666666,10.0,3.333333333333333,3.333333333333333,0.0,0.0,5.0,3.333333333333333,1.666666666666667,3.333333333333333,3.333333333333333,5.0,1.666666666666667
Ramsar Convention on Wetlands Secretariat (Ramsar) ,6,10.0,0,4.0,4.0,0.0,6.0,0.0,0.0,2.0,0.0,8.333333333333334,0.0,3.333333333333333,3.333333333333333,0.0,5.0,0.0,0.0,1.666666666666667,0.0
Minamata Convention on Mercury (Minamata),6,0.0,0,0.0,10.0,0.0,10.0,6.666666666666666,0.0,3.333333333333333,6.666666666666666,0.0,0.0,0.0,5.0,0.0,5.0,3.333333333333333,0.0,1.666666666666667,3.333333333333333
United Nations Office for Outer Space Affairs (UNOOSA),4,0.0,0,0.0,0.0,0.0,5.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333333,3.333333333333333,0.0,6.666666666666666,0.0
United Nations Office on Drugs and Crime (UNODC),2,0.0,0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.666666666666667,3.333333333333333,0.0,0.0,0.0,0.0
