institution,ordinal_score_strategies,capacity_development_operational_delivery_within_igo,collaboration_partnerships_networks_within_igo,environmental_climate_biodiversity_action_within_igo,financial_and_budgetary_management_within_igo,inclusion_rights_social_justice_within_igo,innovation_technology_development_within_igo,knowledge_research_data_systems_within_igo,monitoring_evaluation_accountability_within_igo,policy_regulation_legal_frameworks_within_igo,strategic_and_institutional_planning_within_igo,capacity_development_operational_delivery_across_igo,collaboration_partnerships_networks_across_igo,environmental_climate_biodiversity_action_across_igo,financial_and_budgetary_management_across_igo,inclusion_rights_social_justice_across_igo,innovation_technology_development_across_igo,knowledge_research_data_systems_across_igo,monitoring_evaluation_accountability_across_igo,policy_regulation_legal_frameworks_across_igo,strategic_and_institutional_planning_across_igo
UN Population Fund (UNFPA),8,4.0,0.0,0.0,4.0,4.0,2.0,6.0,10.0,4.0,6.0,3.333333333333333,0.0,0.0,3.333333333333333,3.333333333333333,1.666666666666667,5.0,8.333333333333334,3.333333333333333,5.0
United Nations Human Settlements Programme (UN-Habitat),8,4.0,4.0,4.0,6.0,2.0,4.0,0.0,6.0,2.0,10.0,3.333333333333333,3.333333333333333,3.333333333333333,5.0,1.666666666666667,3.333333333333333,0.0,5.0,1.666666666666667,8.333333333333334
World Food Programme (WFP),8,5.0,0.0,3.333333333333333,5.0,0.0,5.0,3.333333333333333,10.0,3.333333333333333,5.0,5.0,0.0,3.333333333333333,5.0,0.0,5.0,3.333333333333333,10.0,3.333333333333333,5.0
World Tourism Organization/UN Tourism (UNWTO),6,6.0,6.0,0.0,0.0,0.0,4.0,2.0,0.0,4.0,10.0,5.0,5.0,0.0,0.0,0.0,3.333333333333333,1.666666666666667,0.0,3.333333333333333,8.333333333333334
UN Research Institute for Social Development (UNRISD),8,0.0,5.0,7.5,10.0,5.0,2.5,7.5,0.0,10.0,10.0,0.0,3.333333333333333,5.0,6.666666666666666,3.333333333333333,1.666666666666667,5.0,0.0,6.666666666666666,6.666666666666666
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)


",8,3.333333333333333,10.0,6.666666666666666,6.666666666666666,0.0,6.666666666666666,10.0,3.333333333333333,0.0,6.666666666666666,1.666666666666667,5.0,3.333333333333333,3.333333333333333,0.0,3.333333333333333,5.0,1.666666666666667,0.0,3.333333333333333
"Secretariat of the Convention on Biological Diversity (CBD)

",10,3.333333333333333,10.0,5.0,8.333333333333334,3.333333333333333,1.666666666666667,6.666666666666666,3.333333333333333,5.0,10.0,3.333333333333333,10.0,5.0,8.333333333333334,3.333333333333333,1.666666666666667,6.666666666666666,3.333333333333333,5.0,10.0
"
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES)

",9,6.0,6.0,4.0,10.0,0.0,2.0,4.0,6.0,4.0,4.0,5.0,5.0,3.333333333333333,8.333333333333334,0.0,1.666666666666667,3.333333333333333,5.0,3.333333333333333,3.333333333333333
"
Secretariat of the Convention on Migratory Species (CMS)",8,5.0,10.0,7.5,7.5,0.0,5.0,2.5,0.0,7.5,7.5,3.333333333333333,6.666666666666666,5.0,5.0,0.0,3.333333333333333,1.666666666666667,0.0,5.0,5.0
International Fund for Agricultural Development (IFAD),8,5.0,3.333333333333333,8.333333333333334,10.0,3.333333333333333,5.0,0.0,0.0,3.333333333333333,8.333333333333334,5.0,3.333333333333333,8.333333333333334,10.0,3.333333333333333,5.0,0.0,0.0,3.333333333333333,8.333333333333334
"
International Trade Centre (ITC)",6,0.0,4.0,4.0,10.0,0.0,6.0,4.0,0.0,2.0,8.0,0.0,3.333333333333333,3.333333333333333,8.333333333333334,0.0,5.0,3.333333333333333,0.0,1.666666666666667,6.666666666666666
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),7,7.5,0.0,10.0,7.5,0.0,7.5,7.5,0.0,5.0,5.0,5.0,0.0,6.666666666666666,5.0,0.0,5.0,5.0,0.0,3.333333333333333,3.333333333333333
United Nations University (UNU),7,10.0,0.0,0.0,7.5,0.0,2.5,5.0,5.0,7.5,7.5,6.666666666666666,0.0,0.0,5.0,0.0,1.666666666666667,3.333333333333333,3.333333333333333,5.0,5.0
Ramsar Convention on Wetlands Secretariat (Ramsar) ,4,0.0,7.5,2.5,7.5,0.0,0.0,0.0,0.0,2.5,10.0,0.0,5.0,1.666666666666667,5.0,0.0,0.0,0.0,0.0,1.666666666666667,6.666666666666666
Minamata Convention on Mercury (Minamata),8,8.0,10.0,8.0,10.0,0.0,6.0,4.0,0.0,2.0,4.0,6.666666666666666,8.333333333333334,6.666666666666666,8.333333333333334,0.0,5.0,3.333333333333333,0.0,1.666666666666667,3.333333333333333
United Nations Office for Outer Space Affairs (UNOOSA),5,0.0,6.666666666666666,0.0,6.666666666666666,0.0,6.666666666666666,6.666666666666666,0.0,0.0,10.0,0.0,3.333333333333333,0.0,3.333333333333333,0.0,3.333333333333333,3.333333333333333,0.0,0.0,5.0
United Nations Office on Drugs and Crime (UNODC),9,4.0,6.0,0.0,6.0,2.0,2.0,4.0,6.0,6.0,10.0,3.333333333333333,5.0,0.0,5.0,1.666666666666667,1.666666666666667,3.333333333333333,5.0,5.0,8.333333333333334
