institution,ordinal_score_relationships,civil_society_engagement_within_igo,donor_partnerships_within_igo,intergovernmental_consultations_within_igo,ngo_engagement_within_igo,private_sector_partnerships_within_igo,regional_body_coordination_within_igo,scientific_community_linkages_within_igo,technical_or_expert_groups_within_igo,treaty_body_coordination_within_igo,un_system_collaboration_within_igo,civil_society_engagement_across_igo,donor_partnerships_across_igo,intergovernmental_consultations_across_igo,ngo_engagement_across_igo,private_sector_partnerships_across_igo,regional_body_coordination_across_igo,scientific_community_linkages_across_igo,technical_or_expert_groups_across_igo,treaty_body_coordination_across_igo,un_system_collaboration_across_igo
UN Population Fund (UNFPA),5,5.0,10.0,0.0,0.0,5.0,0.0,0.0,2.5,0.0,10.0,3.333333333333333,6.666666666666666,0.0,0.0,3.333333333333333,0.0,0.0,1.666666666666667,0.0,6.666666666666666
United Nations Human Settlements Programme (UN-Habitat),6,10.0,0.0,5.0,0.0,10.0,5.0,0.0,5.0,0.0,10.0,3.333333333333333,0.0,1.666666666666667,0.0,3.333333333333333,1.666666666666667,0.0,1.666666666666667,0.0,3.333333333333333
World Food Programme (WFP),3,0.0,7.5,0.0,0.0,0.0,7.5,0.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.666666666666666
World Tourism Organization/UN Tourism (UNWTO),5,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,10.0,0.0,1.666666666666667,1.666666666666667,0.0,0.0,3.333333333333333,0.0,0.0,1.666666666666667,8.333333333333334
UN Research Institute for Social Development (UNRISD),5,4.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,10.0,3.333333333333333,0.0,0.0,0.0,3.333333333333333,1.666666666666667,1.666666666666667,0.0,0.0,8.333333333333334
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)


",8,3.333333333333333,0.0,0.0,3.333333333333333,3.333333333333333,1.666666666666667,3.333333333333333,1.666666666666667,5.0,10.0,3.333333333333333,0.0,0.0,3.333333333333333,3.333333333333333,1.666666666666667,3.333333333333333,1.666666666666667,5.0,10.0
"Secretariat of the Convention on Biological Diversity (CBD)

",5,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,8.0,10.0,0.0,3.333333333333333,1.666666666666667,0.0,0.0,1.666666666666667,0.0,0.0,6.666666666666666,8.333333333333334
"
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES)

",7,5.0,0.0,0.0,5.0,5.0,0.0,2.5,2.5,7.5,10.0,3.333333333333333,0.0,0.0,3.333333333333333,3.333333333333333,0.0,1.666666666666667,1.666666666666667,5.0,6.666666666666666
"
Secretariat of the Convention on Migratory Species (CMS)",6,0.0,0.0,0.0,6.666666666666666,10.0,3.333333333333333,3.333333333333333,0.0,6.666666666666666,6.666666666666666,0.0,0.0,0.0,3.333333333333333,5.0,1.666666666666667,1.666666666666667,0.0,3.333333333333333,3.333333333333333
International Fund for Agricultural Development (IFAD),5,0.0,10.0,0.0,0.0,0.0,6.666666666666666,0.0,1.666666666666667,1.666666666666667,5.0,0.0,10.0,0.0,0.0,0.0,6.666666666666666,0.0,1.666666666666667,1.666666666666667,5.0
"
International Trade Centre (ITC)",7,0.0,10.0,5.0,0.0,7.5,2.5,5.0,2.5,0.0,10.0,0.0,6.666666666666666,3.333333333333333,0.0,5.0,1.666666666666667,3.333333333333333,1.666666666666667,0.0,6.666666666666666
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333333,6.666666666666666
United Nations University (UNU),4,0.0,10.0,0.0,0.0,0.0,3.333333333333333,6.666666666666666,0.0,0.0,6.666666666666666,0.0,5.0,0.0,0.0,0.0,1.666666666666667,3.333333333333333,0.0,0.0,3.333333333333333
Ramsar Convention on Wetlands Secretariat (Ramsar) ,7,0.0,3.333333333333333,5.0,3.333333333333333,0.0,1.666666666666667,1.666666666666667,0.0,5.0,10.0,0.0,3.333333333333333,5.0,3.333333333333333,0.0,1.666666666666667,1.666666666666667,0.0,5.0,10.0
Minamata Convention on Mercury (Minamata),3,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,10.0,0.0,0.0,0.0,0.0,1.666666666666667,0.0,0.0,0.0,1.666666666666667,6.666666666666666
United Nations Office for Outer Space Affairs (UNOOSA),8,0.0,0.0,5.0,5.0,5.0,2.5,2.5,2.5,5.0,10.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,1.666666666666667,1.666666666666667,1.666666666666667,3.333333333333333,6.666666666666666
United Nations Office on Drugs and Crime (UNODC),7,3.333333333333333,6.666666666666666,3.333333333333333,6.666666666666666,0.0,3.333333333333333,0.0,3.333333333333333,0.0,10.0,1.666666666666667,3.333333333333333,1.666666666666667,3.333333333333333,0.0,1.666666666666667,0.0,1.666666666666667,0.0,5.0
